ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
191882;;Oppelner Straße 26 - 27;10997;Berlin;11000000;Kreuzberg;;;Completed;Existing;"BU; WO;";Lofelt GmbH;;Electronic Engineering;Vermietung;260;;24;Q2;2018;Q2;2018;;BU;13,43912;52,49773
191882;;Oppelner Straße 26 - 27;10997;Berlin;11000000;Kreuzberg;;;Completed;Existing;"BU; WO;";n/a;;Fashion;Vermietung;210;;13;Q1;2018;Q3;2017;;BU;13,43912;52,49773
191882;;Oppelner Straße 26 - 27;10997;Berlin;11000000;Kreuzberg;;;Completed;Existing;"BU; WO;";Humanoo eTherapists GmbH;;Information Technology;Vermietung;320;;16,5;Q3;2016;Q3;2016;;BU;13,43912;52,49773
191882;;Oppelner Straße 26 - 27;10997;Berlin;11000000;Kreuzberg;;;Completed;Existing;"BU; WO;";Twenty Billion Neurons GmbH;;Information Technology;Vermietung;260;;16;Q3;2016;Q3;2016;;BU;13,43912;52,49773
98551;;Bismarckstraße 6 - 7;10625;Berlin;11000000;Charlottenburg;;;Completed;Existing;"BU;";n/a;;Legal Services;Vermietung;70;;21;Q3;2023;Q3;2023;;BU;13,31821;52,51269
98551;;Bismarckstraße 6 - 7;10625;Berlin;11000000;Charlottenburg;;;Completed;Existing;"BU;";Campo Sportivo GmbH;Engel & Völkers;Retailing;Vermietung;290;;18;Q1;2023;Q1;2023;;BU;13,31821;52,51269
98551;;Bismarckstraße 6 - 7;10625;Berlin;11000000;Charlottenburg;;;Completed;Existing;"BU;";FYTA GmbH;Engel & Völkers;Retailing - eCommerce;Vermietung;290;;22;Q4;2021;Q4;2021;;BU;13,31821;52,51269
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";Gritspot GmbH;;Information Technology;Vermietung;310;;39;Q1;2024;Q1;2024;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";n/a;;Medical Practice;Vermietung;100;;26;Q3;2023;Q3;2023;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";Astrat GmbH;;Construction;Vermietung;230;;32;Q3;2023;Q2;2023;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";liop license optimisation GmbH;;Information Technology;Vermietung;60;;27;Q3;2023;Q2;2023;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";Kontist GmbH;Cushman & Wakefield;Information Technology;Untervermietung;980;;28;Q2;2023;Q2;2023;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";Achtzig20 GmbH;;Consulting Services;Vermietung in Bau;890;;27;Q4;2022;Q3;2022;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";Zoi TechCon GmbH;;Consulting Services;Vermietung in Bau;620;;29,5;Q4;2022;Q3;2022;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";GRBV Ingenieure im Bauwesen GmbH & Co. KG;;Business Services;Vermietung in Bau;620;;27;Q2;2022;Q2;2022;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";SF Solution Experts GmbH;;Information Technology;Vermietung in Bau;310;;27;Q2;2022;Q2;2022;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";BetterCallPaul GmbH;;Information Technology;Vermietung in Bau;300;;27;Q2;2022;Q2;2022;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";Consuno Ventures GmbH;;Information Technology;Vermietung in Bau;1070;;27;Q1;2022;Q4;2021;;BU;13,46805;52,5075
231673;Schreibfederhöfe Bauteil B Neubau und Aufstockung;Boxhagener Straße 77 - 78;10247;Berlin;11000000;Friedrichshain;Q4;2022;Completed;New Building;"BU;";Lilienthal Lifestyle GmbH;;Retailing;Vermietung in Bau;540;;26;Q2;2022;Q2;2021;;BU;13,46805;52,5075
140894;Am Oktogon - Campus für Gewerbe und Technologie - B2;Rudower Chaussee 48;12489;Berlin;11000000;Adlershof;Q3;2016;Completed;New Building;"BU;";Ricoh DEUTSCHLAND GmbH;;Electronic Engineering;Vermietung;420;;14;Q3;2021;Q3;2021;;BU;13,52157;52,42859
2730;Deutsche Bank Zentrale;Unter den Linden 13 - 15;10117;Berlin;11000000;Mitte 1a;Q2;1997;Completed;Existing;"BU;";Deutsche Bank;;Banking;Lease-back;15640;;;Q4;2018;Q4;2018;;BU;13,39138;52,5168
1896;Wohnanlage;Heinrich-Heine-Straße 18 - 24 / Leipziger Straße 43, 44, 46, 47;10179;Berlin;11000000;Mitte;Q4;1976;Completed;Existing;"BU; EH; WO;";n/a;;Leisure;Vermietung;1200;;;Q2;2015;Q1;2015;7;BU;13,41329;52,50805
1880;Office-Center am Auswärtigen Amt;Hausvogteiplatz 13 / Niederwallstraße 1 - 2;10117;Berlin;11000000;Mitte 1a;Q3;2000;Completed;Modernisation;"BU; EH; WO;";Medialabel GmbH;;Advertising;Untervermietung;310;;20;Q2;2021;Q2;2021;;BU;13,39732;52,51308
1625;;Darwinstraße 14 -18 / Quedlinburger Straße 1 - 3 / Goslarer Ufer 15 - 21;10589;Berlin;11000000;Charlottenburg;Q2;1993;Completed;Extension;"BU;";n/a;BNP Paribas;Public Organisation;Vermietung;2700;;19,5;Q2;2019;Q2;2019;;BU;13,31517;52,52241
1625;;Darwinstraße 14 -18 / Quedlinburger Straße 1 - 3 / Goslarer Ufer 15 - 21;10589;Berlin;11000000;Charlottenburg;Q2;1993;Completed;Extension;"BU;";n/a;Aengevelt;Energy, Utilities;Vermietung;400;;;Q1;2017;Q1;2017;;BU;13,31517;52,52241
1625;;Darwinstraße 14 -18 / Quedlinburger Straße 1 - 3 / Goslarer Ufer 15 - 21;10589;Berlin;11000000;Charlottenburg;Q2;1993;Completed;Extension;"BU;";n/a;;Public Organisation;Vermietung;16800;;13,5;Q1;2017;Q3;2016;10;BU;13,31517;52,52241
1625;;Darwinstraße 14 -18 / Quedlinburger Straße 1 - 3 / Goslarer Ufer 15 - 21;10589;Berlin;11000000;Charlottenburg;Q2;1993;Completed;Extension;"BU;";FICON Development;JLL;Consulting Services;Vermietung;790;;10,5;Q4;2015;Q4;2015;;BU;13,31517;52,52241
1625;;Darwinstraße 14 -18 / Quedlinburger Straße 1 - 3 / Goslarer Ufer 15 - 21;10589;Berlin;11000000;Charlottenburg;Q2;1993;Completed;Extension;"BU;";MikroM GmbH;Cushman & Wakefield;Information Technology;Vermietung;400;;10;Q4;2015;Q4;2015;;BU;13,31517;52,52241
1625;;Darwinstraße 14 -18 / Quedlinburger Straße 1 - 3 / Goslarer Ufer 15 - 21;10589;Berlin;11000000;Charlottenburg;Q2;1993;Completed;Extension;"BU;";n/a;;Advertising;Vermietung;5270;;11;Q4;2015;Q1;2015;11;BU;13,31517;52,52241
97444;Forum im Wirtschaftswunder - Takeda;Bülowstraße 80 - 84 / Potsdamer Straße 125;10783;Berlin;11000000;Schöneberg;Q4;2021;Completed;Modernisation;"BU; EH;";Almedia GmbH;;Information Technology;Untervermietung;900;;25;Q1;2024;Q1;2024;;BU;13,36268;52,49799
97444;Forum im Wirtschaftswunder - Takeda;Bülowstraße 80 - 84 / Potsdamer Straße 125;10783;Berlin;11000000;Schöneberg;Q4;2021;Completed;Modernisation;"BU; EH;";Elopage GmbH;;Information Technology;Untervermietung;1660;;29;Q3;2023;Q3;2023;;BU;13,36268;52,49799
97444;Forum im Wirtschaftswunder - Takeda;Bülowstraße 80 - 84 / Potsdamer Straße 125;10783;Berlin;11000000;Schöneberg;Q4;2021;Completed;Modernisation;"BU; EH;";Grover Group GmbH;;Retailing - eCommerce;Vermietung in Bau;6130;;33,9;Q2;2022;Q4;2021;;BU;13,36268;52,49799
97444;Forum im Wirtschaftswunder - Takeda;Bülowstraße 80 - 84 / Potsdamer Straße 125;10783;Berlin;11000000;Schöneberg;Q4;2021;Completed;Modernisation;"BU; EH;";Takeda Pharma Vertrieb GmbH & Co. KG;JLL;Biotech-, Pharmaceutical Industry;Vermietung in Bau;5630;;31,5;Q2;2021;Q2;2020;;BU;13,36268;52,49799
97444;Forum im Wirtschaftswunder - Takeda;Bülowstraße 80 - 84 / Potsdamer Straße 125;10783;Berlin;11000000;Schöneberg;Q4;2021;Completed;Modernisation;"BU; EH;";VDI Technologiezentrum;Colliers International;Research and Development;Vermietung in Bau;1660;;29;Q2;2021;Q1;2020;;BU;13,36268;52,49799
24622;Büropalais Eger;Tempelhofer Ufer 11;10963;Berlin;11000000;Kreuzberg;Q4;2001;Completed;Modernisation;"BU;";Euroboden GmbH;;Real Estate Services;Vermietung;350;;27,3;Q3;2018;Q3;2018;;BU;13,38788;52,49762
220427;;Stargarder Straße 44;10437;Berlin;11000000;Peripherie-Nord;;;Completed;Existing;"BU;";Eddy Club Berlin GmbH;;Other Services & Trades;Vermietung;300;;18,5;Q4;2019;Q4;2019;;BU;13,42598;52,54337
98414;;Poststraße 21 - 22;10178;Berlin;11000000;Mitte;;;Completed;Existing;"BU;";seed & speed GmbH;;Finance Services;Vermietung;400;;28;Q4;2019;Q4;2019;;BU;13,4072;52,51628
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Information Technology;Vermietung;510;;;Q4;2024;Q4;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Trustlocal DACH GmbH;;Information Technology;Vermietung;130;;;Q4;2024;Q4;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Octopus Energy Germany GmbH;;Energy, Utilities;Vermietung;1160;;;Q3;2024;Q3;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Scalable Capital GmbH;;Finance Services;Vermietung;800;;;Q3;2024;Q3;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Octopus Energy Germany GmbH;;Energy, Utilities;Vermietung;240;;;Q3;2024;Q3;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Berlin Bytes GmbH;;Information Technology;Vermietung;1270;;32,5;Q2;2024;Q2;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";HOLY Energy GmbH;;Retailing;Vermietung;870;;32,5;Q2;2024;Q2;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";TP Germany Technologies GmbH;;Business Services;Vermietung;520;;32,5;Q2;2024;Q2;2024;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Nufin GmbH / Moss;;Information Technology;Vermietung;1420;;39,5;Q3;2023;Q3;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n.n.;;Business Services;Vermietung;470;;39,5;Q2;2023;Q2;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Fashion;Vermietung;330;;39,5;Q2;2023;Q2;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";RSG Group;;Leisure;Anschlußmietvertrag;2470;;39,5;Q2;2023;Q1;2023;10;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Retailing;Vermietung;440;;39,5;Q1;2023;Q1;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Information Technology;Vermietung;440;;39,5;Q1;2023;Q1;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Retailing - eCommerce;Vermietung;420;;39,5;Q1;2023;Q1;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Information Technology;Vermietung;280;;39,5;Q1;2023;Q1;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Business Services;Vermietung;280;;39,5;Q1;2023;Q1;2023;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Gorillas Technologies GmbH;;Retailing;Vermietung;1280;;38;Q4;2021;Q4;2021;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Finoa GmbH;Colliers International;Finance Services;Vermietung;1370;;38;Q4;2021;Q3;2021;3;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;Eigentümer;Other Services & Trades;Vermietung;380;;37;Q2;2021;Q2;2021;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";The Jester GmbH;;Consulting Services;Vermietung;290;;37;Q2;2021;Q2;2021;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Information Technology;Vermietung;560;;39;Q1;2020;Q1;2020;5;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";IPONWEB GmbH;;Information Technology;Vermietung;390;;33,5;Q1;2019;Q1;2019;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";adjust GmbH;;Information Technology;Vermietung;360;;22,6;Q1;2019;Q1;2019;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Soho House Berlin GmbH;;Real Estate Services;Vermietung;240;;33,5;Q1;2019;Q1;2019;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Retailing;Vermietung;1480;;38;Q4;2017;Q4;2017;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Lange Uhren GmbH;;Retailing;Vermietung;330;;27;Q4;2017;Q4;2017;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Information Technology;Vermietung;1260;;23;Q3;2016;Q3;2016;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";eGym GmbH;CBRE;Business Services;Vermietung;940;;24;Q3;2016;Q3;2016;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Business Services;Vermietung;280;;23;Q3;2016;Q3;2016;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Infosys Limited;Colliers International;Information Technology;Vermietung;480;;18,5;Q1;2016;Q1;2016;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";Kochzauber Food GmbH;;Business Services;Vermietung;420;;18,9;Q1;2016;Q1;2016;;BU;13,41512;52,52865
2412;Backfabrik;Prenzlauer Allee 248 - 251/ Saarbrücker Straße 36 - 38;10405;Berlin;11000000;Peripherie-Nord;Q4;2002;Completed;Change of use;"BU; FR;";n/a;;Retailing;Vermietung;1200;;15,5;Q4;2015;Q4;2015;;BU;13,41512;52,52865
63769;Kurfürstendamm-Center;Kurfürstendamm 142 / 147;10709;Berlin;11000000;Wilmersdorf;Q4;1973;Completed;Existing;"BU; EH; WO;";McWellness GmbH;Avison Young;Health and Welfare Service;Vermietung;1760;;12,8;Q1;2019;Q4;2018;;BU;13,2981;52,49791
63769;Kurfürstendamm-Center;Kurfürstendamm 142 / 147;10709;Berlin;11000000;Wilmersdorf;Q4;1973;Completed;Existing;"BU; EH; WO;";Praxis;;Medical Practice;Vermietung;1600;;12;Q2;2016;Q2;2016;;BU;13,2981;52,49791
1949;BUILDING BERLIN (Alt- und Neubau);Jägerstraße 42 - 44 / Französische Straße 33 a-c;10117;Berlin;11000000;Mitte 1a;Q4;2001;Completed;Existing;"BU;";Deutsche Telekom AG;;telecommunications equipment;Lease-back;11500;;;Q2;2022;Q2;2022;4;BU;13,39652;52,51452
97369;Metropolé;Joachimsthaler Straße 14-19;10719;Berlin;11000000;Kudamm plus Seitenstr.;Q1;2009;Completed;Modernisation;"BU;";n/a;Savills;Legal Services;Vermietung;480;;12;Q1;2019;Q4;2018;;BU;13,33092;52,5025
97369;Metropolé;Joachimsthaler Straße 14-19;10719;Berlin;11000000;Kudamm plus Seitenstr.;Q1;2009;Completed;Modernisation;"BU;";WeWatch Security Services GmbH;Engel & Völkers;Business Services;Vermietung;390;;11,4;Q4;2018;Q2;2018;;BU;13,33092;52,5025
97369;Metropolé;Joachimsthaler Straße 14-19;10719;Berlin;11000000;Kudamm plus Seitenstr.;Q1;2009;Completed;Modernisation;"BU;";n/a;;n/a;Vermietung;390;;;Q4;2017;Q4;2017;;BU;13,33092;52,5025
90266;Edge Grand Central Berlin;Invalidenstraße 61, 62 / Europaplatz, Emma-Herwegh-Straße, Clara-Jaschke-Straße;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q4;2020;Completed;Demolition & New building;"BU;";Scout24-Gruppe;Colliers International;Business Services;Vermietung in Bau;14000;;31;Q3;2020;Q4;2018;;BU;13,36669;52,52508
90266;Edge Grand Central Berlin;Invalidenstraße 61, 62 / Europaplatz, Emma-Herwegh-Straße, Clara-Jaschke-Straße;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q4;2020;Completed;Demolition & New building;"BU;";Oracle Deutschland GmbH;Cushman & Wakefield;Information Technology;Vermietung in Bau;3460;;22;Q2;2019;Q4;2017;;BU;13,36669;52,52508
228393;Leo (Leo & Alex);Bornitzstraße 49 - 51;10365;Berlin;11000000;Peripherie-Ost;Q4;2021;Completed;New Building;"BU;";DaPhi GmbH;;Information Technology;Vermietung;420;;17,5;Q3;2023;Q3;2023;;BU;13,48768;52,52095
228393;Leo (Leo & Alex);Bornitzstraße 49 - 51;10365;Berlin;11000000;Peripherie-Ost;Q4;2021;Completed;New Building;"BU;";Bosch Sicherheitssysteme GmbH;;Manufacturing;Vermietung;2270;;17;Q3;2023;Q2;2023;;BU;13,48768;52,52095
228393;Leo (Leo & Alex);Bornitzstraße 49 - 51;10365;Berlin;11000000;Peripherie-Ost;Q4;2021;Completed;New Building;"BU;";Sparda Bank;;Banking;Vermietung in Bau;2500;;23;Q4;2021;Q4;2021;;BU;13,48768;52,52095
228393;Leo (Leo & Alex);Bornitzstraße 49 - 51;10365;Berlin;11000000;Peripherie-Ost;Q4;2021;Completed;New Building;"BU;";n/a;;Insurance;Vermietung in Bau;2200;;22,8;Q4;2021;Q3;2021;;BU;13,48768;52,52095
174601;Beautique - Maison Frédéric Serviced Apartments;Eisenzahnstraße 11 - 16;10709;Berlin;11000000;Wilmersdorf;Q2;2022;Completed;Change of use;"BU; EH; HO;";n/a;Colliers International;Legal Services;Vorvermietung;390;;24;Q2;2020;Q2;2020;;BU;13,3047;52,4956
138242;Air Campus Adlershof 1. BA;Rudower Chaussee 9 / Am Studio 27;12489;Berlin;11000000;Adlershof;Q3;2013;Completed;New Building;"BU; EH;";n/a;;Electronic Engineering;Vermietung;480;;12,5;Q3;2015;Q3;2015;;BU;13,53683;52,43284
97595;Kunstmaschine Atelierhaus;Prenzlauer Promenade 149 - 152;13189;Berlin;11000000;Peripherie-Nord;Q3;2022;Completed;Change of use;"BU;";Musikschule;;Education;Vorvermietung;;;;Q2;2022;Q2;2016;;BU;13,4267;52,56205
2454;Residenz am Deutschen Theater;Reinhardtstraße 27 A - 31;10117;Berlin;11000000;Mitte;Q3;1998;Completed;Modernisation;"BU; EH; HO; WO;";MIBEG Development GmbH;CBRE;Construction;Vermietung;270;;;Q1;2025;Q4;2024;;BU;13,38226;52,52272
2454;Residenz am Deutschen Theater;Reinhardtstraße 27 A - 31;10117;Berlin;11000000;Mitte;Q3;1998;Completed;Modernisation;"BU; EH; HO; WO;";Gesellschaft für bedrohte Völker e.V.;;Not for profit, Charity, Society;Vermietung;270;;;Q3;2024;Q3;2024;;BU;13,38226;52,52272
2454;Residenz am Deutschen Theater;Reinhardtstraße 27 A - 31;10117;Berlin;11000000;Mitte;Q3;1998;Completed;Modernisation;"BU; EH; HO; WO;";GP9000 GmbH;BNP Paribas;Information Technology;Vermietung;230;;35;Q2;2022;Q1;2022;;BU;13,38226;52,52272
152726;Urban Living - Neues Wohnen in Berlin;Langhansstraße 28 / Roelckestraße 9, 9 A;13086;Berlin;11000000;Peripherie-Nord;Q1;2023;Completed;New Building;"BU; EH; WO;";n/a;;Flexible Office Provider;Eigennutzung;200;;;Q2;2023;Q2;2023;;BU;13,44307;52,55115
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";Fotografen Online Service GmbH;;Business Services;Vermietung;610;;25;Q1;2024;Q1;2024;;BU;13,3971;52,5128
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";FF Infusion Therapy Berlin GmbH;Avison Young;Health and Welfare Service;Vermietung;270;;35,4;Q4;2023;Q2;2023;;BU;13,3971;52,5128
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";Mindspace;;Flexible Office Provider;Vermietung;4360;;36,5;Q4;2023;Q4;2022;;BU;13,3971;52,5128
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";Instant Offices GmbH;CBRE;Flexible Office Provider;Vermietung;830;;35;Q4;2022;Q1;2022;;BU;13,3971;52,5128
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";n/a;;Business Services;Vermietung;430;;;Q1;2017;Q1;2017;;BU;13,3971;52,5128
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";Medneo GmbH;;Medical Practice;Vermietung;800;;15,8;Q1;2016;Q1;2016;;BU;13,3971;52,5128
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";TLG;;Real Estate Services;Eigennutzung;1200;;;Q2;2015;Q2;2015;;BU;13,3971;52,5128
29810;Haus zur Berolina;Hausvogteiplatz 12;10117;Berlin;11000000;Mitte 1a;Q3;2003;Completed;Change of use;"BU;";n/a;;Business Services;Vermietung;500;;15;Q2;2015;Q2;2015;;BU;13,3971;52,5128
