ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";INNIUS DÖ GmbH;;Construction;Vermietung;350;;28;Q2;2020;Q1;2020;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";Deutsche Bahn AG;Colliers International;Passender Transport;Vermietung;1100;;25,5;Q2;2018;Q2;2018;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";RA-MICRO GmbH;Colliers International;Information Technology;Vermietung;330;;22;Q1;2018;Q1;2018;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";digital energy solutions GmbH;Cushman & Wakefield;Information Technology;Vermietung;360;;20;Q1;2017;Q1;2017;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";CrossEngage GmbH;;Information Technology;Vermietung;610;;19,5;Q4;2016;Q4;2016;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";Hitachi Power Europe GmbH;;Manufacturing;Vermietung;350;;20,5;Q4;2016;Q4;2016;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";JLL;;Real Estate Services;Vermietung in Bau;1050;;21;Q3;2016;Q3;2016;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";n/a;Angermann Real Estate Advisory;Business Services;Vermietung in Bau;340;;20,5;Q3;2016;Q2;2016;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";ABC Business Center;Engel & Völkers;Real Estate Services;Vermietung in Bau;1680;;19,5;Q3;2016;Q4;2015;;BU;13,36692;52,523
67112;Bertha Berlin - Europacity MK 6;Alt-Moabit 2 / Katharina-Paulus-Straße 1 / Bertha-Benz-Straße 1;10557;Berlin;11000000;Hauptbahnhof / Europacity;Q3;2016;Completed;New Building;"BU; EH;";n/a;;Accountants;Vermietung in Bau;11890;;20,7;Q3;2016;Q3;2015;;BU;13,36692;52,523
