Party;Age Category;Votes
SPD;70 and older;24
CDU/CSU;70 and older;43
The Greens;70 and older;8
FDP;70 and older;5
AfD;70 and older;10
Left Party;70 and older;4
BSW;70 and older;4
Others;70 and older;2
SPD;18-24 years;12
CDU/CSU;18-24 years;13
The Greens;18-24 years;12
FDP;18-24 years;6
AfD;18-24 years;20
Left Party;18-24 years;25
BSW;18-24 years;6
Others;18-24 years;6
