Party;Age Category;Votes
SPD;70 and older;24
CDU/CSU;71 and older;43
The Greens;72 and older;8
FDP;73 and older;5
AfD;74 and older;10
Left Party;75 and older;4
BSW;76 and older;4
Others;77 and older;2
SPD;18-24 years;12
CDU/CSU;18-24 years;13
The Greens;18-24 years;12
FDP;18-24 years;6
AfD;18-24 years;20
Left Party;18-24 years;25
BSW;18-24 years;6
Others;18-24 years;6
